holdings,cash,total,Date
23445.391266411127,-22.141984536949167,23423.249281874178,2024-03-13
22904.22702193728,-22.141984536949167,22882.08503740033,2024-03-14
0.0,22856.386607985252,22856.386607985252,2024-03-15
0.0,22856.386607985252,22856.386607985252,2024-03-16
0.0,22856.386607985252,22856.386607985252,2024-03-17
0.0,22856.386607985252,22856.386607985252,2024-03-18
0.0,22856.386607985252,22856.386607985252,2024-03-19
25064.705699702714,-22.85638660798213,25041.84931309473,2024-03-20
24170.72124890014,-22.85638660798213,24147.864862292157,2024-03-21
23538.646170012205,-22.85638660798213,23515.789783404223,2024-03-22
23643.25508357297,-22.85638660798213,23620.39869696499,2024-03-23
24813.924567528094,-22.85638660798213,24791.068180920112,2024-03-24
25819.49993280618,-22.85638660798213,25796.643546198196,2024-03-25
25830.211530327666,-22.85638660798213,25807.355143719684,2024-03-26
0.0,25783.022768173327,25783.022768173327,2024-03-27
0.0,25783.022768173327,25783.022768173327,2024-03-28
0.0,25783.022768173327,25783.022768173327,2024-03-29
0.0,25783.022768173327,25783.022768173327,2024-03-30
0.0,25783.022768173327,25783.022768173327,2024-03-31
0.0,25783.022768173327,25783.022768173327,2024-04-01
24208.022648713577,-25.783022768169758,24182.239625945407,2024-04-02
24405.48337919171,-25.783022768169758,24379.700356423542,2024-04-03
25340.570752569423,-25.783022768169758,25314.787729801254,2024-04-04
0.0,25292.00202750213,25292.00202750213,2024-04-05
0.0,25292.00202750213,25292.00202750213,2024-04-06
0.0,25292.00202750213,25292.00202750213,2024-04-07
0.0,25292.00202750213,25292.00202750213,2024-04-08
0.0,25292.00202750213,25292.00202750213,2024-04-09
25821.5594670509,-25.2920020274978,25796.267465023404,2024-04-10
25628.679019595525,-25.2920020274978,25603.387017568028,2024-04-11
24580.735551043137,-25.2920020274978,24555.44354901564,2024-04-12
0.0,24528.124857636994,24528.124857636994,2024-04-13
0.0,24528.124857636994,24528.124857636994,2024-04-14
0.0,24528.124857636994,24528.124857636994,2024-04-15
0.0,24528.124857636994,24528.124857636994,2024-04-16
0.0,24528.124857636994,24528.124857636994,2024-04-17
0.0,24528.124857636994,24528.124857636994,2024-04-18
0.0,24528.124857636994,24528.124857636994,2024-04-19
0.0,24528.124857636994,24528.124857636994,2024-04-20
0.0,24528.124857636994,24528.124857636994,2024-04-21
0.0,24528.124857636994,24528.124857636994,2024-04-22
0.0,24528.124857636994,24528.124857636994,2024-04-23
0.0,24528.124857636994,24528.124857636994,2024-04-24
0.0,24528.124857636994,24528.124857636994,2024-04-25
0.0,24528.124857636994,24528.124857636994,2024-04-26
0.0,24528.124857636994,24528.124857636994,2024-04-27
0.0,24528.124857636994,24528.124857636994,2024-04-28
0.0,24528.124857636994,24528.124857636994,2024-04-29
0.0,24528.124857636994,24528.124857636994,2024-04-30
0.0,24528.124857636994,24528.124857636994,2024-05-01
24894.330890654594,-24.528124857635703,24869.802765796958,2024-05-02
26480.20066366049,-24.528124857635703,26455.672538802854,2024-05-03
26901.946736125195,-24.528124857635703,26877.41861126756,2024-05-04
26960.751611461386,-24.528124857635703,26936.22348660375,2024-05-05
26594.7758439473,-24.528124857635703,26570.247719089664,2024-05-06
0.0,26543.994709885043,26543.994709885043,2024-05-07
